strike,call_symbol,put_symbol,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv,call_bid,put_bid,call_ask,put_ask,call_last,put_last,call_gex,put_gex,total_gex,volume,probability
143,SPCX260807C00143000,SPCX260807P00143000,1995,518,556,39,1.4179716601562502,1.9326175244140624,0.28,27.1,0.29,29.5,0.28,27.3,218432,-56716,161716,595,13.58
144,SPCX260807C00144000,SPCX260807P00144000,1242,444,484,27,1.4492215039062502,1.759766826171875,0.27,28.1,0.29,30.1,0.27,28.2,101457,-36270,65187,511,9.7
145,SPCX260807C00145000,SPCX260807P00145000,12374,1029,4231,192,1.46875265625,1.5898458007812497,0.26,30.4,0.27,31.2,0.27,29.58,701910,-58370,643540,4423,6.42
146,SPCX260807C00146000,SPCX260807P00146000,846,449,195,12,1.48047134765625,1.626954990234375,0.23,30.3,0.26,31.8,0.25,30.42,43072,-22860,20212,207,5.86
147,SPCX260807C00147000,SPCX260807P00147000,1328,310,554,12,1.4921900390624998,1.572267763671875,0.21,31.4,0.24,32.7,0.24,31.34,52392,-12230,40162,566,4.47
148,SPCX260807C00148000,SPCX260807P00148000,1105,544,944,44,1.51172119140625,1.8125009374999999,0.2,30.1,0.23,33.95,0.22,32.95,54306,-26735,27571,988,6.05
149,SPCX260807C00149000,SPCX260807P00149000,867,818,263,38,1.5253929980468748,2.041997082519531,0.19,31.05,0.21,35.25,0.24,33.86,49544,-46744,2800,301,7.55
150,SPCX260807C00150000,SPCX260807P00150000,32959,2283,12435,97,1.53515857421875,1.4453152734375,0.18,35,0.19,36.05,0.18,34.19,592417,-41035,551382,12532,1.98
152.5,SPCX260807C00152500,SPCX260807P00152500,10799,406,8184,3,1.57422087890625,1.6328143359374998,0.15,36.55,0.17,38.1,0.17,38.35,187606,-7053,180553,8187,2.06
155,SPCX260807C00155000,SPCX260807P00155000,9536,375,7487,39,1.6171894140625,1.5390648046875,0.13,39.8,0.15,41.2,0.15,38.15,85963,-3380,82583,7526,1.05
157.5,SPCX260807C00157500,SPCX260807P00157500,1755,147,829,19,1.6582048339843751,2.139653088378906,0.11,41.5,0.14,43.45,0.13,42.6,36001,-3015,32986,848,2.88
160,SPCX260807C00160000,SPCX260807P00160000,13822,375,5159,84,1.68359533203125,2.333988540039062,0.1,44.65,0.11,46.1,0.1,44.39,267275,-7251,260024,5243,2.88
162.5,SPCX260807C00162500,SPCX260807P00162500,2030,266,199,6,1.75000125,2.339847900390624,0.09,46.85,0.12,48.5,0.11,46.95,29636,-3883,25753,205,2.21
165,SPCX260807C00165000,SPCX260807P00165000,5184,127,1990,5,1.7773448632812499,2.696292321777344,0.08,49.3,0.1,51.4,0.08,49.92,91983,-2253,89730,1995,2.94
167.5,SPCX260807C00167500,SPCX260807P00167500,1502,81,920,2,1.8515632421875,2.8085967285156253,0.09,49.95,0.1,53.95,0.1,54.8,24245,-1307,22938,922,2.78
170,SPCX260807C00170000,SPCX260807P00170000,14853,195,3475,65,1.8671881640625,1.92578162109375,0.07,54.1,0.09,55.5,0.07,52.92,28154,-370,27784,3540,0.27
172.5,SPCX260807C00172500,SPCX260807P00172500,1302,110,142,89,1.9296878515625,2.1875045312499997,0.06,55.9,0.1,58.1,0.08,57.55,3504,-296,3208,231,0.41
175,SPCX260807C00175000,SPCX260807P00175000,5873,48,2631,34,1.96875015625,2.517581831054687,0.07,59.2,0.08,60.8,0.07,59.7,22955,-188,22767,2665,0.65
177.5,SPCX260807C00177500,SPCX260807P00177500,2969,28,358,30,2.00781748046875,2.5839879150390628,0.06,59.45,0.08,63.3,0.08,54.67,9493,-90,9403,388,0.54
180,SPCX260807C00180000,SPCX260807P00180000,6745,85,3307,6,2.02344244140625,2.755862485351563,0.05,63.8,0.07,65.9,0.06,65.32,20948,-264,20684,3313,0.55
182.5,SPCX260807C00182500,SPCX260807P00182500,2811,7,137,3,2.0781298046874994,3.0449242626953126,0.05,65.05,0.07,68.65,0.05,68.3,11239,-28,11211,140,0.76
185,SPCX260807C00185000,SPCX260807P00185000,3398,113,3167,5,2.14844212890625,0.000010000000000000003,0.05,69.4,0.08,70.3,0.05,64.71,0,0,0,3172,0
190,SPCX260807C00190000,SPCX260807P00190000,4647,146,729,103,2.2109419726562494,2.5039099902343747,0.04,74.05,0.07,75.55,0.06,67.37,2180,-69,2111,832,0.08
195,SPCX260807C00195000,SPCX260807P00195000,3025,9,449,1,2.281254296875,3.5644542138671875,0.04,76.85,0.06,81.4,0.07,72.33,7284,-22,7262,450,0.52
200,SPCX260807C00200000,SPCX260807P00200000,13036,54,7434,2,2.3750040624999995,3.5751963745117186,0.04,83.85,0.06,86.25,0.04,85.09,19317,-80,19237,7436,0.33
205,SPCX260807C00205000,SPCX260807P00205000,7303,23,761,4,2.43750390625,3.6093759765625,0.04,86.85,0.05,91.15,0.04,81.05,6546,-21,6525,765,0.2
210,SPCX260807C00210000,SPCX260807P00210000,3582,16,792,10,2.5312536718749996,3.6289071777343755,0.04,91.85,0.05,96.05,0.05,95,2002,-9,1993,802,0.13
215,SPCX260807C00215000,SPCX260807P00215000,1415,5,497,2,2.5468786328124997,3.378907802734375,0.02,99.25,0.05,100.75,0.04,105,221,-1,220,499,0.03
220,SPCX260807C00220000,SPCX260807P00220000,4207,1,1002,10,2.6562533593750004,3.843750390625,0.03,101.85,0.05,106.05,0.05,109.7,1172,0,1172,1012,0.07
225,SPCX260807C00225000,SPCX260807P00225000,2158,12,449,6,2.7343781640625,3.406251484375,0.03,106.85,0.05,110.65,0.04,100.76,119,-1,118,455,0.01
230,SPCX260807C00230000,SPCX260807P00230000,2912,2,543,1,2.7343781640625,4.283207770996094,0.02,111.85,0.04,116.3,0.04,106.69,611,0,611,544,0.05
235,SPCX260807C00235000,,3396,0,472,0,2.81250296875,0,0.02,0,0.04,0,0.02,0,5,0,5,472,0
240,SPCX260807C00240000,,6207,0,1235,0,2.8906277734375,0,0.02,0,0.04,0,0.03,0,6,0,6,1235,0
245,SPCX260807C00245000,,1973,0,227,0,2.906252734375,0,0.02,0,0.03,0,0.03,0,1,0,1,227,0
250,SPCX260807C00250000,,5646,0,2491,0,2.9687525781249997,0,0.02,0,0.03,0,0.02,0,1,0,1,2491,0
255,SPCX260807C00255000,,1863,0,1142,0,2.906252734375,0,0.01,0,0.02,0,0.02,0,0,0,0,1142,0
260,SPCX260807C00260000,SPCX260807P00260000,2711,1,1339,1,3.031252421875,3.57031357421875,0.01,141.8,0.03,145.5,0.02,120,2,0,2,1340,0
265,SPCX260807C00265000,,1776,0,702,0,3.031252421875,0,0.01,0,0.02,0,0.02,0,0,0,0,702,0
270,SPCX260807C00270000,,672,0,504,0,3.0937522656249996,0,0.01,0,0.02,0,0.02,0,0,0,0,504,0
275,SPCX260807C00275000,,419,0,613,0,3.156252109375,0,0.01,0,0.02,0,0.02,0,0,0,0,613,0
280,SPCX260807C00280000,,1810,0,1431,0,3.1875020312499998,0,0.01,0,0.02,0,0.01,0,0,0,0,1431,0
285,SPCX260807C00285000,,2066,0,557,0,3.2500018749999997,0,0.01,0,0.02,0,0.02,0,0,0,0,557,0
290,SPCX260807C00290000,,1031,0,168,0,3.3125017187499997,0,0.01,0,0.02,0,0.02,0,0,0,0,168,0
295,SPCX260807C00295000,,1722,0,950,0,3.3750015624999996,0,0.01,0,0.02,0,0.02,0,0,0,0,950,0
300,SPCX260807C00300000,SPCX260807P00300000,8214,0,2924,1,3.43750140625,4.757816552734374,0.01,185.15,0.02,186.35,0.02,182,2,0,2,2925,0
305,SPCX260807C00305000,,1694,0,158,0,3.468751328125,0,0.01,0,0.02,0,0.02,0,0,0,0,158,0
310,SPCX260807C00310000,,1657,0,558,0,3.5312511718749997,0,0.01,0,0.02,0,0.01,0,0,0,0,558,0
315,SPCX260807C00315000,,2088,0,632,0,3.56250109375,0,0.01,0,0.02,0,0.02,0,0,0,0,632,0
320,SPCX260807C00320000,,2317,0,540,0,3.6250009375000003,0,0.01,0,0.02,0,0.02,0,0,0,0,540,0
325,SPCX260807C00325000,,3423,0,6672,0,3.6875007812500002,0,0.01,0,0.02,0,0.02,0,0,0,0,6672,0
330,SPCX260807C00330000,,558996,0,62455,0,3.718750703125,0,0.01,0,0.02,0,0.02,0,0,0,0,62455,0
